"FullPath","Folder","Filename","Extension","Size","ModifiedDate","IsImage","Width","Height","MimeType"
"H:\My Drive\Untitled document.gdoc","","Untitled document.gdoc",".gdoc","173","2026-07-12 16:57:02","False","","","application/vnd.google-apps.document"
"H:\My Drive\IMG_0737.JPG","","IMG_0737.JPG",".jpg","220526","2026-07-19 18:02:35","True","480","640","image/jpeg"
"H:\My Drive\IMG_0841.JPG","","IMG_0841.JPG",".jpg","167472","2026-07-19 18:02:35","True","480","640","image/jpeg"
"H:\My Drive\IMG_0805.JPG","","IMG_0805.JPG",".jpg","196839","2026-07-19 18:02:35","True","480","640","image/jpeg"
"H:\My Drive\IMG_0535.JPG","","IMG_0535.JPG",".jpg","238435","2026-07-19 18:02:35","True","480","640","image/jpeg"
"H:\My Drive\IMG_0555.JPG","","IMG_0555.JPG",".jpg","223975","2026-07-19 18:04:04","True","480","640","image/jpeg"
"H:\My Drive\IMG_0559.JPG","","IMG_0559.JPG",".jpg","181898","2026-07-19 18:04:04","True","640","480","image/jpeg"
"H:\My Drive\IMG_0544.JPG","","IMG_0544.JPG",".jpg","114723","2026-07-19 18:04:04","True","480","640","image/jpeg"
"H:\My Drive\IMG_0546.JPG","","IMG_0546.JPG",".jpg","224160","2026-07-19 18:04:04","True","480","640","image/jpeg"
"H:\My Drive\HOMESERVICEPROJECTPERGOLAS.jpg","","HOMESERVICEPROJECTPERGOLAS.jpg",".jpg","2081361","2026-07-22 13:42:40","True","4367","3275","image/jpeg"
