"Asset_ID","Original_Filename","Current_Filename","Full_Path","Directory","Parent_Folder","Extension","File_Size_Bytes","File_Size_MB","SHA256_Hash","MD5_Hash","Width_Pixels","Height_Pixels","Dimensions","Camera_Make","Camera_Model","Software","Lens_Make","Lens_Model","Focal_Length","EXIF_DateTime","EXIF_DateTimeOriginal","EXIF_DateTimeDigitized","File_Creation_Time","File_Modified_Time","File_Access_Time","Orientation","Flash","Metering_Mode","White_Balance","Is_iPhone","iPhone_Confidence","iPhone_Reasons","Asset_Type","Quality","Has_Duplicate","Duplicate_Location","Metadata_Score","Has_EXIF","Notes"
"498998fe-325a-45d1-9167-9a573dcada58","hero-background-enhanced.jpg","hero-background-enhanced.jpg","H:\My Drive\Happy Place Media\Website Library\Hero\?? DROP HERO IMAGE HERE\hero-background-enhanced.jpg","H:\My Drive\Happy Place Media\Website Library\Hero\?? DROP HERO IMAGE HERE","?? DROP HERO IMAGE HERE",".jpg","358309","0.34","88A723C2E29F70F6D9C8F5CEDC7C8DD5D96E72A2387D7BD683D0D05788E42C77","2F6C22CC437F5490AA5CC46DA846BBE8","480","640","480x640","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","7/29/2026 5:04:52 PM","7/27/2026 4:02:43 PM","7/29/2026 5:04:52 PM","1","Unknown","Unknown","Unknown","False","None","None","Hero","Low","No","Unknown","2","No",""
"786e2271-51b6-4a18-ae15-08b1782dbc09","FENCE BUILD.jpg","FENCE BUILD.jpg","H:\My Drive\Happy Place Media\Website Library\Projects\Johnson Cedar Fence\?? DROP NEW PHOTO HERE\FENCE BUILD.jpg","H:\My Drive\Happy Place Media\Website Library\Projects\Johnson Cedar Fence\?? DROP NEW PHOTO HERE","?? DROP NEW PHOTO HERE",".jpg","679283","0.65","FDE707D0E89F57292087636F44C2E8A580ADD68C1BDF6A3F8573A15BC92623CE","BDD2DE391261CD0F879BFF255754DD2A","Unknown","Unknown","Unknown","Unknown","Unknown","Picasa","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","7/29/2026 5:04:52 PM","7/27/2026 4:02:43 PM","7/29/2026 5:04:52 PM","Unknown","Unknown","Unknown","Unknown","False","None","None","Active Project","Medium","Yes","H:\My Drive\Happy Place Media\Website Library\Projects\_archive\johnson-cedar-fence\FENCE BUILD.jpg","1","No",""
"006d8dd5-55cd-4dda-8415-c2d2688b439b","FENCEREBUILDMATCHINGSTAIN.png","FENCEREBUILDMATCHINGSTAIN.png","H:\My Drive\Happy Place Media\Website Library\Projects\Johnson Cedar Fence\?? OLD PHOTOS\FENCEREBUILDMATCHINGSTAIN.png","H:\My Drive\Happy Place Media\Website Library\Projects\Johnson Cedar Fence\?? OLD PHOTOS","?? OLD PHOTOS",".png","2014324","1.92","E4DAE37BB90595BBE466680B3295956F8A58A4589C5CE26C60AD7D4088E9535B","E03E06EF17E7F9AB6C8AE9D4D42C986B","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","7/29/2026 5:04:52 PM","7/27/2026 4:02:43 PM","7/29/2026 5:04:52 PM","Unknown","Unknown","Unknown","Unknown","False","None","None","Old Project","Medium","Yes","H:\My Drive\Happy Place Media\Website Library\Projects\_archive\johnson-cedar-fence\FENCEREBUILDMATCHINGSTAIN.png","0","No",""
"f9521c99-98d8-4442-b7d0-b7cda2777be7","FINISHEDCARPENTRY.png","FINISHEDCARPENTRY.png","H:\My Drive\Happy Place Media\Website Library\Projects\Smith Built-Ins\?? DROP NEW PHOTO HERE\FINISHEDCARPENTRY.png","H:\My Drive\Happy Place Media\Website Library\Projects\Smith Built-Ins\?? DROP NEW PHOTO HERE","?? DROP NEW PHOTO HERE",".png","2563271","2.44","89A9F5D4BB013FA3978D767755FBFE05B11C3C0330CA6CF7AC02FB0D011BE90E","C200B8E3AB4CA0FBACB30A1DFFF8A6CD","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","7/29/2026 5:04:52 PM","7/27/2026 4:02:43 PM","7/29/2026 5:04:52 PM","Unknown","Unknown","Unknown","Unknown","False","None","None","Active Project","High","Yes","H:\My Drive\Happy Place Media\Website Library\Projects\_archive\smith-built-ins\FINISHEDCARPENTRY.png","0","No",""
"093388c1-8101-4ea1-80c3-a61469cfebde","FINISHEDCARPENTRY0.png","FINISHEDCARPENTRY0.png","H:\My Drive\Happy Place Media\Website Library\Projects\Smith Built-Ins\?? OLD PHOTOS\FINISHEDCARPENTRY0.png","H:\My Drive\Happy Place Media\Website Library\Projects\Smith Built-Ins\?? OLD PHOTOS","?? OLD PHOTOS",".png","170191","0.16","C16F37D656C830146EE3F2B54ED0B62C5D821952C06B7E85CB9C465672CD093E","7D807DF977595FA04ACBAD9D72F02BEE","Unknown","Unknown","Unknown","Unknown","Unknown","Picasa","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","7/29/2026 5:04:52 PM","7/27/2026 4:02:43 PM","7/29/2026 5:04:52 PM","Unknown","Unknown","Unknown","Unknown","False","None","None","Old Project","Low","Yes","H:\My Drive\Happy Place Media\Website Library\Projects\_archive\smith-built-ins\FINISHEDCARPENTRY0.png","1","No",""
"cb4cfd21-d18b-4a8e-8513-b5eb53c4fa8a","TRIMREPAIR.png","TRIMREPAIR.png","H:\My Drive\Happy Place Media\Website Library\Projects\Wilson Home Repairs\?? DROP NEW PHOTO HERE\TRIMREPAIR.png","H:\My Drive\Happy Place Media\Website Library\Projects\Wilson Home Repairs\?? DROP NEW PHOTO HERE","?? DROP NEW PHOTO HERE",".png","3272275","3.12","5358901C87CD8FC7A4F665825B65E576D51B671EC8D1C71CA256ED6D90218657","31D1F3BA913063458024029DB146883B","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","7/29/2026 5:04:52 PM","7/27/2026 4:02:43 PM","7/29/2026 5:04:52 PM","Unknown","Unknown","Unknown","Unknown","False","None","None","Active Project","High","Yes","H:\My Drive\Happy Place Media\Website Library\Projects\_archive\wilson-home-repairs\TRIMREPAIR.png","0","No",""
"aeebd2f6-4c11-4c14-918c-3cade1ebc85d","DRYWALL.png","DRYWALL.png","H:\My Drive\Happy Place Media\Website Library\Projects\Wilson Home Repairs\?? OLD PHOTOS\DRYWALL.png","H:\My Drive\Happy Place Media\Website Library\Projects\Wilson Home Repairs\?? OLD PHOTOS","?? OLD PHOTOS",".png","2817979","2.69","BB60C0FF212D897F3AB4B5101D664A2613A98D70F1C96C18FACF2DC0AD0A642C","B6ABCA2610DAF7FB317692D451381A43","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","7/29/2026 5:04:52 PM","7/27/2026 4:02:43 PM","7/29/2026 5:04:52 PM","Unknown","Unknown","Unknown","Unknown","False","None","None","Old Project","High","Yes","H:\My Drive\Happy Place Media\Website Library\Projects\_archive\wilson-home-repairs\DRYWALL.png","0","No",""
"f5d5b1c3-e30f-4717-9438-aa4844bccd69","FLOOR.png","FLOOR.png","H:\My Drive\Happy Place Media\Website Library\Projects\Wilson Home Repairs\?? OLD PHOTOS\FLOOR.png","H:\My Drive\Happy Place Media\Website Library\Projects\Wilson Home Repairs\?? OLD PHOTOS","?? OLD PHOTOS",".png","1546375","1.47","263A496C4392923E59D82737EA296A7C548A1DC8571A322013C52B99001AD118","52043860BB409CA3B74828991E94BD04","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","7/29/2026 5:04:52 PM","7/27/2026 4:02:43 PM","7/29/2026 5:04:52 PM","Unknown","Unknown","Unknown","Unknown","False","None","None","Old Project","Medium","Yes","H:\My Drive\Happy Place Media\Website Library\Projects\_archive\wilson-home-repairs\FLOOR.png","0","No",""
"e6e65d14-9a0e-4539-9a85-a32612de00a4","GUTTERCLEANING.jpg","GUTTERCLEANING.jpg","H:\My Drive\Happy Place Media\Website Library\Projects\Wilson Home Repairs\?? OLD PHOTOS\GUTTERCLEANING.jpg","H:\My Drive\Happy Place Media\Website Library\Projects\Wilson Home Repairs\?? OLD PHOTOS","?? OLD PHOTOS",".jpg","163066","0.16","39782328BECB886ACB5FCCA700A27A746A19F299F0354CAC7939AA08C5D663C0","58F209505668BFF2F194B027291A1656","Unknown","Unknown","Unknown","Unknown","Unknown","Picasa","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","7/29/2026 5:04:52 PM","7/27/2026 4:02:43 PM","7/29/2026 5:04:52 PM","Unknown","Unknown","Unknown","Unknown","False","None","None","Old Project","Low","Yes","H:\My Drive\Happy Place Media\Website Library\Projects\_archive\wilson-home-repairs\GUTTERCLEANING.jpg","1","No",""
"78632ef8-6487-4ff7-b939-7643af6bfc17","FLOOR0.jpg","FLOOR0.jpg","H:\My Drive\Happy Place Media\Website Library\Projects\Wilson Home Repairs\?? OLD PHOTOS\FLOOR0.jpg","H:\My Drive\Happy Place Media\Website Library\Projects\Wilson Home Repairs\?? OLD PHOTOS","?? OLD PHOTOS",".jpg","376870","0.36","EB41507F5CEA45025EF68427CD9416C932FFC12033AD9BC1201F8504FBBBEE6E","697A15AAA4407B4FAE7A525688B6D1D9","Unknown","Unknown","Unknown","Unknown","Unknown","Picasa","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","7/29/2026 5:04:52 PM","7/27/2026 4:02:43 PM","7/29/2026 5:04:52 PM","Unknown","Unknown","Unknown","Unknown","False","None","None","Old Project","Low","Yes","H:\My Drive\Happy Place Media\Website Library\Projects\_archive\wilson-home-repairs\FLOOR0.jpg","1","No",""
